Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,# trades,Taker Buy Base,Taker Buy Quote
2022-12-17 04:00:00,228.71,240.0,227.13,235.96,1211960.93,2022-12-17 07:59:59,280133591.88934,331978,636758.46,147320365.52013
2022-12-17 08:00:00,235.95,241.92,233.46,236.68,1298917.0,2022-12-17 11:59:59,307219251.48909,332352,650808.67,154002547.86718
2022-12-17 12:00:00,236.67,239.76,236.1,236.31,809305.38,2022-12-17 15:59:59,192366677.29618,218518,404757.86,96230099.99758
2022-12-17 16:00:00,236.3,237.77,234.5,235.46,583007.72,2022-12-17 19:59:59,137609598.99301,161832,292913.63,69160779.357
2022-12-17 20:00:00,235.45,245.0,234.68,241.75,771712.51,2022-12-17 23:59:59,184755686.45043,210638,411460.9,98532160.05823
2022-12-18 00:00:00,241.74,249.7,238.97,246.29,713874.87,2022-12-18 03:59:59,172892939.00805,218045,377464.14,91530701.52487
2022-12-18 04:00:00,246.28,254.12,244.76,247.03,1454242.15,2022-12-18 07:59:59,361344704.59871,424104,738164.83,183455432.37301
2022-12-18 08:00:00,247.02,248.5,243.45,246.49,877923.06,2022-12-18 11:59:59,216212969.53,260991,439002.93,108139287.7103
2022-12-18 12:00:00,246.5,247.72,244.37,244.78,513429.03,2022-12-18 15:59:59,126344089.4049,160610,251917.41,62007648.0049
2022-12-18 16:00:00,244.78,251.8,244.3,249.18,910400.83,2022-12-18 19:59:59,225786162.6808,268068,475281.0,117884803.78758
2022-12-18 20:00:00,249.18,254.2,247.62,250.78,692651.06,2022-12-18 23:59:59,173595840.6159,230015,347679.35,87172388.28502
2022-12-19 00:00:00,250.77,252.87,245.01,246.66,818184.75,2022-12-19 03:59:59,203907133.09062,244127,393353.28,98076934.5946
2022-12-19 04:00:00,246.67,248.18,245.18,246.05,533014.46,2022-12-19 07:59:59,131620341.0211,168612,275131.77,67952981.1238
2022-12-19 08:00:00,246.04,248.8,245.67,247.65,471898.81,2022-12-19 11:59:59,116743826.1127,138210,238550.15,59021081.9104
2022-12-19 12:00:00,247.64,252.24,246.23,246.57,891860.01,2022-12-19 15:59:59,221616501.13211,252865,443795.03,110312318.38589
2022-12-19 16:00:00,246.57,247.4,240.3,242.0,964148.32,2022-12-19 19:59:59,234678806.08185,291683,477811.94,116304297.3417
2022-12-19 20:00:00,242.0,244.8,236.46,240.23,697953.12,2022-12-19 23:59:59,168085460.54548,212645,355238.64,85583708.6341
2022-12-20 00:00:00,240.24,248.6,239.03,247.58,946836.45,2022-12-20 03:59:59,231852539.94587,260861,503550.67,123305679.28537
2022-12-20 04:00:00,247.6,251.3,246.97,248.05,539321.01,2022-12-20 07:59:59,134208112.34289,160653,277288.83,69020852.04289
2022-12-20 08:00:00,248.08,249.44,246.77,249.26,447436.45,2022-12-20 11:59:59,110877971.2648,112109,230870.43,57215949.5219
2022-12-20 12:00:00,249.26,253.68,247.34,250.87,822692.68,2022-12-20 15:59:59,205678773.20116,223098,420313.74,105117058.79276
2022-12-20 16:00:00,250.87,251.3,247.81,250.41,403352.32,2022-12-20 19:59:59,100644241.45949,123305,194884.83,48630068.1736
2022-12-20 20:00:00,250.41,252.47,249.3,251.09,265844.73,2022-12-20 23:59:59,66694483.0326,84764,138112.74,34653201.138
2022-12-21 00:00:00,251.1,251.35,247.9,248.49,342127.58,2022-12-21 03:59:59,85377718.2102,96692,169005.43,42173584.7107
2022-12-21 04:00:00,248.46,249.23,246.61,247.78,308368.0,2022-12-21 07:59:59,76501754.4365,92742,153275.71,38031332.5712
2022-12-21 08:00:00,247.78,249.81,247.04,249.25,296786.4,2022-12-21 11:59:59,73777927.351,92982,157872.48,39247744.815
2022-12-21 12:00:00,249.26,249.79,247.28,248.95,310886.47,2022-12-21 15:59:59,77276837.1503,103401,154398.43,38383282.5436
2022-12-21 16:00:00,248.95,249.0,245.0,246.05,240283.93,2022-12-21 19:59:59,59409231.37412,80582,111628.2,27610042.9155
2022-12-21 20:00:00,246.04,247.55,245.21,246.07,214820.76,2022-12-21 23:59:59,52920950.7942,73351,109957.22,27088263.362
2022-12-22 00:00:00,246.07,248.27,245.72,247.72,277162.9,2022-12-22 03:59:59,68456406.2428,89632,141846.2,35036972.9157
2022-12-22 04:00:00,247.73,247.99,244.36,246.16,261414.55,2022-12-22 07:59:59,64368284.0163,87128,123264.49,30354981.1369
2022-12-22 08:00:00,246.16,247.13,244.91,245.65,268015.89,2022-12-22 11:59:59,65934947.7837,87792,133293.4,32798596.3277
2022-12-22 12:00:00,245.64,246.04,240.0,240.71,769929.35,2022-12-22 15:59:59,186582147.62705,226968,374819.92,90842215.9265
2022-12-22 16:00:00,240.7,242.98,240.25,242.92,345404.2,2022-12-22 19:59:59,83441398.2856,112701,180100.53,43515244.8256
2022-12-22 20:00:00,242.93,247.0,242.27,245.69,446491.59,2022-12-22 23:59:59,109423666.33652,134028,230460.36,56485743.43642
